Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Agent1 score,Agent2 score,Agent3 score,Agent4 score,Is Training
1330000,0.72949743,2.1057014,0.062419973,0.027601637,0.0002007697,0.16692318,0.0033494676,None,1.050000200048089,1.050000200048089,3.0,4.0,3.0,3.0,1.0
1340000,0.76694494,2.1130037,0.121956274,0.019946326,0.00019998245,0.1666608,0.003336373,None,None,None,5.0,8.0,5.0,4.0,1.0
1350000,0.83988386,2.126488,0.1301491,0.025430698,0.00019921207,0.16640396,0.0033235599,999.0,14.834791813977063,14.834791813977063,0.0,0.0,0.0,0.0,1.0
1360000,0.9336653,2.1224053,0.12657301,0.02378331,0.00019841282,0.16613762,0.0033102657,None,None,None,5.0,6.5,3.0,7.0,1.0
1370000,0.96684796,2.0943115,0.10722374,0.022853158,0.00019760648,0.16586879,0.0032968528,999.0,13.288333468255587,13.288333468255587,0.0,0.0,0.0,0.0,1.0
1380000,1.0122153,2.0644097,0.11569805,0.027702667,0.00019682401,0.16560799,0.0032838385,None,None,None,4.0,4.0,4.0,2.0,1.0
1390000,1.0661433,2.038524,0.11643643,0.025414478,0.00019603685,0.16534562,0.0032707453,None,None,None,5.0,7.0,7.0,6.0,1.0
1400000,1.0972152,2.0055716,0.1366211,0.022641407,0.0001952545,0.16508481,0.0032577312,999.0,11.445625128418518,11.445625128418518,4.0,3.5,2.0,4.5,1.0
1410000,1.1680799,1.9546201,0.1431186,0.01985813,0.00019446723,0.16482243,0.003244638,None,None,None,9.0,10.0,7.0,11.0,1.0
1420000,1.2261593,1.9700809,0.1417991,0.025728738,0.00019368486,0.16456161,0.0032316232,999.0,17.05333345158336,17.05333345158336,0.0,0.0,0.0,0.0,1.0
1430000,1.302111,1.8986244,0.150076,0.025952585,0.0001928977,0.16429918,0.0032185307,None,None,None,5.0,7.0,8.0,3.0,1.0
1440000,1.3783439,1.8944012,0.13749678,0.024591302,0.00019209128,0.16403042,0.0032051175,999.0,18.414565399005685,18.414565399005685,3.5,4.0,6.5,3.5,1.0
1450000,1.3844675,1.925736,0.12336888,0.022336684,0.00019130889,0.16376963,0.0031921035,None,26.300000213086605,26.300000213086605,5.0,2.0,8.0,5.0,1.0
1460000,1.420193,1.8474096,0.113765,0.022175094,0.00019052163,0.16350716,0.0031790088,None,None,None,6.0,4.0,9.0,10.0,1.0
1470000,1.3920921,1.864763,None,None,None,None,None,999.0,10.965208509665294,10.965208509665294,0.0,0.0,0.0,0.0,1.0
1480000,1.4415954,1.8664843,0.13202874,0.021354822,0.00018973925,0.16324635,0.0031659955,None,None,None,3.0,2.5,0.0,6.0,1.0
1490000,1.4870725,1.8630683,0.14667322,0.026495839,0.00018895202,0.16298398,0.003152901,999.0,18.447291753060806,18.447291753060806,0.0,0.0,0.0,0.0,1.0
1500000,1.3975326,1.9625999,0.12509073,0.030505339,0.00018816961,0.16272317,0.0031398882,None,None,None,2.0,6.0,5.0,1.0,1.0
1510000,1.3101842,1.9191253,0.084084824,0.027300688,0.0001873825,0.1624608,0.0031267935,None,None,None,3.0,7.0,7.0,3.0,1.0
1520000,1.201214,1.9263388,0.09161821,0.017306574,0.00018661204,0.16220397,0.0031139792,999.0,7.0818750985975685,7.0818750985975685,1.0,1.0,1.5,1.5,1.0
1530000,1.1097286,1.9072543,0.10234026,0.02454532,0.00018581285,0.16193762,0.0031006862,None,None,None,3.0,3.0,5.0,5.0,1.0
1540000,1.0270289,1.8947461,0.108755305,0.02613393,0.00018500643,0.1616688,0.0030872736,999.0,7.708958391759855,7.708958391759855,0.0,0.0,0.0,1.0,1.0
1550000,1.0339385,1.8174814,0.10977449,0.024893655,0.00018422405,0.16140799,0.003074259,None,None,None,5.0,8.0,1.0,4.0,1.0
1560000,1.0173252,1.7630023,0.080117315,0.026024772,0.00018343689,0.16114561,0.0030611658,999.0,6.820652270689607,6.820652270689607,3.0,5.5,1.0,2.0,1.0
1570000,1.0568614,1.8177164,0.119593784,0.018244267,0.0001826544,0.16088481,0.0030481513,None,0.2550001349300146,0.2550001349300146,4.0,2.0,4.0,4.0,1.0
1580000,1.1002368,1.7801819,0.16024593,0.024507998,0.00018186726,0.16062243,0.0030350585,None,None,None,6.0,4.0,5.0,4.0,1.0
1590000,1.1326566,1.7943133,0.14578988,0.029479133,0.00018108489,0.16036163,0.003022044,999.0,16.406458411792602,16.406458411792602,0.0,0.0,0.0,0.0,1.0
1600000,1.1796335,1.8214129,0.14696947,0.020894552,0.00018029762,0.16009916,0.0030089493,None,None,None,3.5,2.0,7.0,5.0,1.0
1610000,1.1733643,1.8214154,0.11987355,0.022605235,0.00017949131,0.15983042,0.0029955367,999.0,13.923541745520197,13.923541745520197,0.0,1.0,0.0,0.0,1.0
1620000,1.1064728,1.8354826,0.12561384,0.025486337,0.00017870883,0.1595696,0.0029825221,None,None,None,2.0,3.0,6.0,5.0,1.0
1630000,1.0912458,1.7977663,0.09103322,0.0269287,0.00017792167,0.15930718,0.0029694291,None,None,None,4.0,4.0,9.0,6.0,1.0
1640000,1.1846308,1.7327676,0.1334,0.023777734,0.00017713929,0.15904637,0.0029564148,999.0,7.490416763660808,7.490416763660808,2.0,1.0,1.5,2.0,1.0
1650000,1.2652422,1.599854,0.16130939,0.02131423,0.00017635203,0.15878399,0.0029433216,None,None,None,7.0,4.0,3.0,6.0,1.0
1660000,1.2602084,1.6769452,0.15970442,0.032240402,0.00017556967,0.15852317,0.0029303073,999.0,16.62604175573991,16.62604175573991,0.0,0.0,0.0,1.0,1.0
1670000,1.2610157,1.6646862,0.09888174,0.026662735,0.00017478241,0.15826079,0.0029172143,None,None,None,0.0,3.0,3.0,6.0,1.0
1680000,1.2004918,1.6589301,0.08677009,0.024733154,0.00017401205,0.15800399,0.0029043998,999.0,6.938478326182002,6.938478326182002,0.0,3.0,3.0,3.0,1.0
