Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Agent1 score,Agent2 score,Agent3 score,Agent4 score,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
890000,8.127827,0.8263856,3.5,3.0,5.0,2.0,0.94831026,0.015201512,0.00023396181,0.17798725,0.0078009265,831.2,88.63000066280365,88.63000066280365,1.0
900000,8.192524,0.8567358,3.0,2.0,3.5,2.5,1.0403565,0.014115732,0.00023319245,0.17773078,0.007775307,944.8,107.73600068092347,107.73600068092347,1.0
910000,8.358145,0.8181658,3.5,3.0,2.5,4.5,1.017059,0.011432504,0.000232421,0.17747366,0.0077496185,984.7,105.48600039482116,105.48600039482116,1.0
920000,8.458286,0.8243996,3.5,3.0,2.5,1.5,0.9281322,0.016251914,0.00023165,0.17721665,0.007723944,1067.6,114.34400062561035,114.34400062561035,1.0
930000,8.5346365,0.82762384,7.0,6.0,5.0,6.0,1.0482922,0.013594145,0.00023087351,0.1769578,0.0076980866,896.3,98.33200006484985,98.33200006484985,1.0
940000,8.6793585,0.7707975,3.0,1.0,1.0,1.0,0.9423741,0.014428928,0.00023010111,0.17670037,0.0076723658,876.7,100.03200087547302,100.03200087547302,1.0
950000,8.815427,0.7867159,2.5,2.5,2.5,2.0,1.0372423,0.0117218485,0.00022933228,0.1764441,0.0076467637,783.9090909090909,96.06000067970969,96.06000067970969,1.0
960000,8.932751,0.787347,5.0,4.5,3.0,3.5,1.259938,0.015268257,0.00022855948,0.17618649,0.0076210294,946.8181818181819,109.00000082362781,109.00000082362781,1.0
970000,9.042479,0.7758408,3.0,2.5,3.0,2.5,1.1771432,0.011564915,0.0002277866,0.17592888,0.007595292,871.8181818181819,100.7636367190968,100.7636367190968,1.0
980000,9.11833,0.79514366,4.0,2.5,4.5,4.5,0.9537645,0.019276913,0.00022701644,0.17567213,0.0075696455,876.4444444444445,103.61777803632948,103.61777803632948,1.0
990000,9.280242,0.7613445,2.0,3.5,5.0,5.5,0.94548815,0.017507557,0.00022624759,0.17541584,0.007544043,852.3,90.63200044631958,90.63200044631958,1.0
1000000,9.338008,0.7679171,3.5,2.5,4.0,2.5,1.0293756,0.01818625,0.00022547398,0.17515798,0.007518282,1455.5,155.81200065612794,155.81200065612794,1.0
1010000,9.363313,0.7898094,4.0,6.0,5.0,2.0,0.87880737,0.017096402,0.00022470109,0.17490035,0.007492545,1197.5,136.26200075149535,136.26200075149535,1.0
1020000,9.501562,0.75443697,1.5,2.5,1.5,1.5,1.0311571,0.016218336,0.0002239325,0.17464414,0.007466951,948.8,104.44600038528442,104.44600038528442,1.0
1030000,9.63119,0.76941144,3.5,1.5,2.0,2.5,0.9040654,0.012406541,0.00022315873,0.17438622,0.007441184,1055.0,120.58181927420877,120.58181927420877,1.0
1040000,9.69116,0.7611037,5.5,4.0,5.5,4.5,1.0473466,0.013506546,0.000222389,0.17412966,0.0074155526,1148.2,127.56400063037873,127.56400063037873,1.0
1050000,9.717392,0.7739204,3.5,3.0,5.0,2.0,1.0679644,0.013963126,0.00022161687,0.17387228,0.0073898407,774.7,92.33000066280366,92.33000066280366,1.0
1060000,9.821744,0.767497,1.5,3.0,2.0,3.5,0.9656327,0.015827978,0.00022084033,0.17361343,0.007363981,943.0909090909091,108.33636422590776,108.33636422590776,1.0
1070000,9.819774,0.76262826,1.5,2.0,3.0,3.5,1.103245,0.015520731,0.00022006866,0.1733562,0.007338284,1037.3636363636363,121.0763647773049,121.0763647773049,1.0
1080000,9.835637,0.75555664,2.0,3.0,2.5,2.0,1.0377673,0.014816921,0.00021929202,0.17309733,0.007312423,782.6,85.9320007801056,85.9320007801056,1.0
1090000,9.931251,0.7553647,3.0,3.0,2.0,7.0,0.9060681,0.01696147,0.0002185154,0.17283843,0.007286561,1012.6363636363636,126.77000012397767,126.77000012397767,1.0
1100000,10.0561495,0.73622113,2.0,1.0,4.0,1.5,0.99459565,0.01566692,0.00021773975,0.1725799,0.0072607314,730.6666666666666,83.63230826304509,83.63230826304509,1.0
1110000,10.086519,0.7467134,3.0,3.5,1.5,2.0,1.002074,0.01751706,0.00021696449,0.17232147,0.0072349156,728.8,92.41000046730042,92.41000046730042,1.0
1120000,10.172333,0.7690589,4.5,2.0,4.5,4.5,1.1867261,0.013158644,0.0002161832,0.17206104,0.007208899,1045.1,121.31800088882446,121.31800088882446,1.0
1130000,10.306715,0.741565,0.0,0.0,0.0,0.0,1.1505651,0.017822247,0.00021540913,0.17180304,0.007183122,854.8333333333334,96.26363704421304,96.26363704421304,1.0
1140000,10.358614,0.7279482,3.0,4.5,1.5,1.5,0.9656305,0.018721694,0.0002146346,0.17154485,0.0071573304,1089.5,130.59454636140302,130.59454636140302,1.0
1150000,10.361262,0.742859,2.5,3.5,5.0,3.0,0.8862721,0.018833999,0.00021385796,0.17128599,0.0071314694,1363.0,155.086000084877,155.086000084877,1.0
